host	sub	surf	E_tot	n_host	n_sub	surf_area(A^2)	
Ni	Zn	111	-40.744637	7	2	5.035108813	1ML
Co	Zn	111	-51.654391	7	2	5.417003018	1ML
Cu	Ga	111	-31.165054	7	2	5.507458985	1ML
Co	Ga	111	-54.884636	7	2	5.633965356	1ML
Cu	Zn	111	-28.48272671	7	2	5.649589077	1ML
Ni	Ga	111	-44.51062	7	2	5.654258633	1ML
Cu	As	111	-33.508721	7	2	5.737792149	1ML
Co	Ge	111	-57.392512	7	2	5.82068598	1ML
Ni	Ge	111	-47.035652	7	2	5.857470204	1ML
Co	As	111	-57.398627	7	2	5.881077849	1ML
Co	Cd	111	-49.221257	7	2	5.975587128	1ML
Ni	As	111	-47.112868	7	2	6.008916241	1ML
Ni	Cd	111	-38.827619	7	2	6.075160986	1ML
Ni	Tl	111	-38.56687	7	2	6.115581512	1ML
Ni	Zn	100	-79.866142	14	2	6.131999332	1ML
Co	Hg	111	-47.086816	7	2	6.132673145	1ML
Co	Zn	100	-100.3095	14	2	6.150336854	1ML
Cu	Ge	111	-34.027386	7	2	6.188201387	1ML
Cu	Cd	111	-26.515365	7	2	6.246013848	1ML
Co	Ga	100	-103.41382	14	2	6.263819931	1ML
Ni	Hg	111	-36.674821	7	2	6.285951358	1ML
Co	In	111	-51.736283	7	2	6.301395906	1ML
Cu	Zn	100	-53.865186	14	2	6.340400648	1ML
Rh	Zn	111	-53.369353	7	2	6.367967614	1ML
Cu	Hg	111	-24.633505	7	2	6.397461722	1ML
Co	Ge	100	-107.66867	14	2	6.411087027	1ML
Ni	In	111	-41.486938	7	2	6.427294762	1ML
Ir	Zn	111	-64.201263	7	2	6.453170552	1ML
Rh	Ga	111	-56.907705	7	2	6.464587971	1ML
Ni	Ge	100	-86.548786	14	2	6.482825569	1ML
Ir	Ga	111	-67.6105	7	2	6.529943153	1ML
Co	As	100	-107.48732	14	2	6.545849044	1ML
Rh	Cd	111	-51.964432	7	2	6.573777484	1ML
Co	Hg	100	-95.731151	14	2	6.574740113	1ML
Co	Cd	100	-98.989757	14	2	6.580655188	1ML
Co	Sn	111	-53.581947	7	2	6.582846142	1ML
Cu	Ga	100	-57.477271	14	2	6.58835655	1ML
Rh	Ge	111	-59.826142	7	2	6.588447145	1ML
Cu	As	100	-60.397148	14	2	6.606257369	1ML
Ir	Cd	111	-62.840689	7	2	6.6108348	1ML
Rh	As	111	-59.95864	7	2	6.628811939	1ML
Rh	Hg	111	-49.928083	7	2	6.639009686	1ML
Ir	Ge	111	-70.518759	7	2	6.639909461	1ML
Ir	Hg	111	-60.74609	7	2	6.653566718	1ML
Cu	Ge	100	-60.43728	14	2	6.668433117	1ML
Ir	As	111	-70.460309	7	2	6.674211775	1ML
Cu	Cd	100	-52.451274	14	2	6.693362348	1ML
Pt	Zn	111	-45.101746	7	2	6.700933464	1ML
Co	Tl	111	-49.520585	7	2	6.715572329	1ML
Ni	As	100	-86.617771	14	2	6.727170545	1ML
Pd	Zn	111	-39.088535	7	2	6.745850842	1ML
Cu	In	111	-29.294204	7	2	6.748354496	1ML
Ni	Sn	111	-43.486963	7	2	6.765168585	1ML
Rh	In	111	-54.874787	7	2	6.768973425	1ML
Ir	In	111	-65.61047422	7	2	6.782692249	1ML
Pt	Ga	111	-48.852763	7	2	6.867498164	1ML
Pd	As	111	-45.736274	7	2	6.880342158	1ML
Pd	Ga	111	-42.911259	7	2	6.889905769	1ML
Ir	Tl	111	-63.629023	7	2	6.897665904	1ML
Pt	Ge	111	-51.607742	7	2	6.93413689	1ML
Pd	Ge	111	-45.680495	7	2	6.935147504	1ML
Pd	Hg	111	-36.10858	7	2	6.935711005	1ML
Pt	Cd	111	-44.04566	7	2	6.943876573	1ML
Pt	Hg	111	-41.994144	7	2	6.949625314	1ML
Rh	Tl	111	-52.901891	7	2	6.951348583	1ML
Pd	Cd	111	-38.061232	7	2	6.960285227	1ML
Rh	Pb	111	-54.934824	7	2	6.965290896	1ML
Co	Sn	100	-103.8035	14	2	6.97224438	1ML
Ir	Sn	111	-67.761823	7	2	6.973622017	1ML
Co	Sb	111	-53.678216	7	2	7.006938883	1ML
Rh	Sn	111	-57.159733	7	2	7.007319761	1ML
Ir	Sb	111	-67.515963	7	2	7.015941664	1ML
Ni	Sb	111	-43.539448	7	2	7.04972124	1ML
Ir	Te	111	-64.615962	7	2	7.069271769	1ML
Pt	As	111	-51.557543	7	2	7.070150249	1ML
Co	In	100	-101.39789	14	2	7.072403429	1ML
Cu	Hg	100	-51.014207	14	2	7.086243167	1ML
Rh	Sb	111	-57.160109	7	2	7.086991715	1ML
Ni	Ga	100	-83.116565	14	2	7.097834049	1ML
Pt	In	111	-47.288918	7	2	7.130935042	1ML
Ir	Pb	111	-65.618595	7	2	7.144607498	1ML
Ag	Zn	111	-21.650911	7	2	7.167049892	1ML
Cu	Sb	111	-31.351002	7	2	7.167681954	1ML
Cu	Tl	111	-27.62218	7	2	7.189098884	1ML
Cu	Sn	111	-31.453632	7	2	7.19891712	1ML
Ni	In	100	-81.078836	14	2	7.212331283	1ML
Co	Pb	111	-51.682446	7	2	7.214178996	1ML
Ag	As	111	-27.994244	7	2	7.219571393	1ML
Rh	Te	111	-54.520963	7	2	7.225775396	1ML
Co	Tl	100	-100.17124	14	2	7.228192093	1ML
Ni	Tl	100	-79.036962	14	2	7.251058517	1ML
Pt	Pb	111	-47.654688	7	2	7.252829619	1ML
Pd	In	111	-41.428294	7	2	7.257572671	1ML
Ni	Pb	111	-41.352127	7	2	7.268563183	1ML
Au	Zn	111	-24.940601	7	2	7.294842225	1ML
Ni	Cd	100	-77.73446	14	2	7.311680991	1ML
Ir	Bi	111	-65.569456	7	2	7.320184313	1ML
Co	Te	111	-51.288265	7	2	7.329531732	1ML
Au	As	111	-31.017243	7	2	7.330663467	1ML
Au	Ga	111	-28.798282	7	2	7.331960445	1ML
Cu	In	100	-55.817209	14	2	7.342475363	1ML
Pd	Tl	111	-39.705539	7	2	7.350574037	1ML
Au	Hg	111	-22.896486	7	2	7.367812005	1ML
Ag	Ga	111	-25.463121	7	2	7.369523668	1ML
Pd	Sn	111	-43.85435	7	2	7.399396099	1ML
Au	Cd	111	-24.601211	7	2	7.403313201	1ML
Pt	Tl	111	-45.564496	7	2	7.407434768	1ML
Cu	Sn	100	-58.340494	14	2	7.414345813	1ML
Ag	Hg	111	-19.757408	7	2	7.416778783	1ML
Rh	Ga	100	-108.00662	14	2	7.417243531	1ML
Rh	Zn	100	-104.22558	14	2	7.419752484	1ML
Ag	Ge	111	-28.07308	7	2	7.434876296	1ML
Cu	Tl	100	-54.224736	14	2	7.435298323	1ML
Co	Bi	111	-52.050259	7	2	7.442889194	1ML
Rh	Bi	111	-55.379876	7	2	7.465822848	1ML
Rh	Ge	100	-110.98503	14	2	7.46892707	1ML
Pt	Sn	111	-49.704809	7	2	7.479365522	1ML
Rh	Hg	100	-101.00899	14	2	7.485522935	1ML
Ni	Te	111	-41.162653	7	2	7.486806109	1ML
Rh	As	100	-111.23628	14	2	7.492113881	1ML
Rh	Cd	100	-102.89874	14	2	7.494909854	1ML
Ir	Ga	100	-129.61629	14	2	7.508144253	1ML
Co	Sb	100	-104.7728	14	2	7.508193457	1ML
Ir	Zn	100	-125.94277	14	2	7.520917289	1ML
Au	Ge	111	-31.416518	7	2	7.542137267	1ML
Ni	Sb	100	-83.782225	14	2	7.554189727	1ML
Ir	Cd	100	-124.67952	14	2	7.57045215	1ML
Cu	Sb	100	-58.214186	14	2	7.573747078	1ML
Ir	Hg	100	-122.69146	14	2	7.578680813	1ML
Ir	Ge	100	-132.69038	14	2	7.581060058	1ML
Rh	In	100	-106.42128	14	2	7.59876245	1ML
Pd	Sb	111	-43.965377	7	2	7.603537164	1ML
Ag	Cd	111	-21.591125	7	2	7.60493869	1ML
Co	Te	100	-101.83802	14	2	7.606272901	1ML
Ir	As	100	-132.69631	14	2	7.61131868	1ML
Rh	Tl	100	-104.58319	14	2	7.631925592	1ML
Cu	Te	111	-29.215874	7	2	7.63995744	1ML
Ir	In	100	-128.17386	14	2	7.644609015	1ML
Rh	Sn	100	-108.90173	14	2	7.653417773	1ML
Pt	Sb	111	-49.665287	7	2	7.671363832	1ML
Cu	Pb	111	-29.984101	7	2	7.686525613	1ML
Ir	Tl	100	-126.39622	14	2	7.687671396	1ML
Ag	In	111	-24.633838	7	2	7.702523219	1ML
Ir	Sb	100	-130.11031	14	2	7.712297518	1ML
