host	sub	surf	E_tot	n_host	n_sub	latt_a	latt_b	surf_area(A^2)	type
Ni	Sn	100	-.17402078E+03	30	2	3.651072502	3.651127669	13.330531833577258	linear
Ni	Sn	110	-.17299436E+03	30	2	4.973714002736	3.519037186	17.502684528156887	linearlong
Ni	Sn	110	-.17147971E+03	30	2	6.858812717862	2.545374424	17.45824647105186	linearshort
Ni	Sn	110	-.17346183E+03	30	2	4.272598954062	4.272695551709275	17.27824529149768	zigzag
Ni	Sn	111	-.19470510E+03	34	2	4.951537700268	4.951537700267597	21.232973210167515	linear
Ni	Sn	111	-.19461394E+03	34	2	4.291603526317	4.955914031027	21.26881813167937	zigzag
Ni	Ga	100	-.17280793E+03	30	2	3.504305227007	3.504493981007	12.2808165756574	linear
Ni	Ga	100	-.17122886E+03	30	2	5.037832492252	2.554871139	12.871012837571074	truelinear
Ni	Ga	110	-.17098718E+03	30	2	4.954466460737	3.500281246	17.342026036453717	linearlong
Ni	Ga	110	-.17020117E+03	30	2	6.980678137033	2.493988857	17.40973348806382	linearshort
Ni	Ga	110	-.17130347E+03	30	2	4.291451535377	4.291495056673023	17.371909848063982	zigzag
Ni	Ga	111	-.19342752E+03	34	2	4.948631958557	4.948631958556834	21.20805996646124	linear
Ni	Ga	111	-.19313632E+03	34	2	4.284274041452	4.955564248001	21.230995268458287	zigzag
Ni	Zn	100	-.16735632E+03	30	2	3.674606145	3.674673026	13.502976082205343	linear
Ni	Zn	100	-.16751584E+03	30	2	4.972084744054	2.495280815	12.406747672392132	truelinear
Ni	Zn	110	-.16680922E+03	30	2	4.964681086311	3.487556044	17.314603529096413	linearlong
Ni	Zn	110	-.16599611E+03	30	2	6.944439827508	2.486579949	17.26790483211841	linearshort
Ni	Zn	110	-.16688241E+03	30	2	4.282022368922	4.282159171433431	17.33231148149177	zigzag
Ni	Zn	111	-.18781287E+03	34	2	4.943199300491	4.943199300490167	21.161520681949597	linear
Ni	Zn	111	-.18845775E+03	34	2	4.283165839325	4.950484356025677	21.203745481744868	zigzag
Ni	Bi	110	-.17266076E+03	30	2	4.977847586608	3.502696347024	17.435888557654078	linearlong
Ni	Bi	110	-.17338910E+03	30	2	4.26950281485	4.269622813702035	17.28275248028838	zigzag
Ni	Bi	111	-.19405542E+03	34	2	4.931634632774	4.9316346327736325	21.062621296869523	linear
Ni	Pb	100	-.17022116E+03	30	2	5.007356195081	2.642470522001	13.23179113866063	truelinear
Ni	Pb	110	-.17159176E+03	30	2	4.950073082122	3.477367347	17.21322250103469	linearlong
Ni	Pb	110	-.16894821E+03	30	2	6.678645370313	2.618546015	17.488340220031308	linearshort
Ni	Pb	110	-.17180256E+03	30	2	4.282717171887	4.282729008528819	17.363651797436862	zigzag
